customer_id,first_name,last_name,email,age,gender,city,registration_date,customer_segment,loyalty_member,is_active
CUST000001,Hans,Weber,customer1@email.com,42,Other,Braunschweig,2021-11-28,Mature Customers,True,True
CUST000002,Maria,Wagner,customer2@email.com,32,F,Bielefeld,2018-07-11,Prime Shoppers,False,True
CUST000003,Anna,Bauer,customer3@email.com,44,M,München,2021-07-28,Mature Customers,False,False
CUST000004,Klara,Hoffmann,customer4@email.com,57,M,Kiel,2021-08-13,Mature Customers,True,True
CUST000005,Laura,Becker,customer5@email.com,31,F,Hamburg,2019-03-09,Prime Shoppers,True,True
CUST000006,Tim,Hoffmann,customer6@email.com,31,Other,Hamburg,2023-01-16,Prime Shoppers,True,True
CUST000007,Greta,Hoffmann,customer7@email.com,58,M,Gelsenkirchen,2018-02-02,Mature Customers,False,True
CUST000008,Felix,Hoffmann,customer8@email.com,46,M,Bonn,2019-09-05,Mature Customers,False,True
CUST000009,Emma,Bauer,customer9@email.com,27,Other,München,2020-02-26,Prime Shoppers,False,True
CUST000010,Noah,Fischer,customer10@email.com,43,M,Bremen,2018-07-20,Mature Customers,False,True
CUST000011,Ida,Becker,customer11@email.com,28,F,Dortmund,2018-03-02,Prime Shoppers,False,False
CUST000012,Felix,Koch,customer12@email.com,28,Other,Mannheim,2020-06-03,Prime Shoppers,False,True
CUST000013,Max,Weber,customer13@email.com,38,M,Augsburg,2022-05-01,Prime Shoppers,True,True
CUST000014,Emma,Wagner,customer14@email.com,18,Other,Mönchengladbach,2019-07-03,Young Adults,True,False
CUST000015,Leon,Schmidt,customer15@email.com,18,M,Berlin,2019-10-11,Young Adults,False,False
CUST000016,Ida,Schmidt,customer16@email.com,26,M,München,2020-01-08,Prime Shoppers,True,False
CUST000017,Tim,Schulz,customer17@email.com,19,Other,Nürnberg,2020-07-08,Young Adults,True,True
CUST000018,Leon,Schulz,customer18@email.com,39,M,Münster,2018-07-03,Prime Shoppers,False,False
CUST000019,Jonas,Wagner,customer19@email.com,21,F,Gelsenkirchen,2018-01-26,Young Adults,True,True
CUST000020,Sophie,Schneider,customer20@email.com,18,Other,Hannover,2021-03-17,Young Adults,True,True
CUST000021,Jonas,Weber,customer21@email.com,56,F,Frankfurt,2019-07-05,Mature Customers,True,True
CUST000022,Ida,Wagner,customer22@email.com,31,F,Bochum,2020-06-09,Prime Shoppers,True,True
CUST000023,Hans,Bauer,customer23@email.com,36,Other,Bochum,2019-05-31,Prime Shoppers,True,False
CUST000024,Emma,Weber,customer24@email.com,18,M,Hannover,2018-08-08,Young Adults,False,False
CUST000025,Klara,Becker,customer25@email.com,26,F,Nürnberg,2022-07-05,Prime Shoppers,True,True
CUST000026,Max,Bauer,customer26@email.com,36,M,Bochum,2019-10-19,Prime Shoppers,False,True
CUST000027,Maria,Meyer,customer27@email.com,18,F,Wiesbaden,2023-05-30,Young Adults,False,True
CUST000028,Maria,Weber,customer28@email.com,40,F,Dresden,2019-10-30,Mature Customers,True,True
CUST000029,Tim,Schneider,customer29@email.com,25,Other,Gelsenkirchen,2021-04-27,Prime Shoppers,True,False
CUST000030,Greta,Becker,customer30@email.com,30,F,Braunschweig,2023-04-16,Prime Shoppers,True,False
CUST000031,Paul,Schneider,customer31@email.com,25,Other,Leipzig,2021-10-10,Prime Shoppers,True,True
CUST000032,Emma,Bauer,customer32@email.com,62,F,Mönchengladbach,2021-09-10,Senior Shoppers,False,True
CUST000033,Max,Becker,customer33@email.com,34,Other,Hannover,2020-07-08,Prime Shoppers,False,True
CUST000034,Leon,Bauer,customer34@email.com,19,Other,Münster,2022-06-08,Young Adults,True,True
CUST000035,Hans,Koch,customer35@email.com,47,Other,Dresden,2022-04-24,Mature Customers,True,True
CUST000036,Maria,Meyer,customer36@email.com,18,F,Köln,2021-02-27,Young Adults,True,True
CUST000037,Hans,Schulz,customer37@email.com,38,Other,Wuppertal,2019-06-14,Prime Shoppers,True,False
CUST000038,Maria,Becker,customer38@email.com,18,Other,Bonn,2020-02-06,Young Adults,True,True
CUST000039,Paul,Schmidt,customer39@email.com,18,F,Nürnberg,2018-02-20,Young Adults,True,True
CUST000040,Emma,Meyer,customer40@email.com,37,F,Bremen,2022-08-30,Prime Shoppers,False,True
CUST000041,Paul,Meyer,customer41@email.com,46,F,Köln,2020-12-03,Mature Customers,False,False
CUST000042,Clara,Weber,customer42@email.com,37,M,Mönchengladbach,2019-10-16,Prime Shoppers,True,True
CUST000043,Klara,Koch,customer43@email.com,33,M,Mannheim,2022-10-06,Prime Shoppers,True,True
CUST000044,Felix,Schulz,customer44@email.com,30,M,Bremen,2020-11-22,Prime Shoppers,False,False
CUST000045,Maria,Koch,customer45@email.com,18,M,Stuttgart,2019-04-20,Young Adults,False,False
CUST000046,Max,Fischer,customer46@email.com,24,F,Bonn,2018-03-01,Young Adults,False,False
CUST000047,Greta,Fischer,customer47@email.com,28,F,Gelsenkirchen,2018-01-10,Prime Shoppers,True,True
CUST000048,Tim,Schneider,customer48@email.com,50,F,Bremen,2022-06-26,Mature Customers,True,False
CUST000049,Ida,Koch,customer49@email.com,40,F,Wuppertal,2018-08-22,Mature Customers,False,False
CUST000050,Maria,Hoffmann,customer50@email.com,18,M,Dresden,2021-06-05,Young Adults,False,False
CUST000051,Felix,Koch,customer51@email.com,39,Other,Mönchengladbach,2021-06-18,Prime Shoppers,False,True
CUST000052,Emma,Meyer,customer52@email.com,29,M,Dortmund,2021-10-08,Prime Shoppers,False,True
CUST000053,Leon,Bauer,customer53@email.com,24,M,Wuppertal,2019-01-10,Young Adults,False,False
CUST000054,Emma,Hoffmann,customer54@email.com,44,F,Nürnberg,2021-05-06,Mature Customers,True,False
CUST000055,Tim,Bauer,customer55@email.com,50,Other,Aachen,2021-07-25,Mature Customers,True,True
CUST000056,Jonas,Schneider,customer56@email.com,48,M,Bremen,2020-09-29,Mature Customers,False,True
CUST000057,Leon,Müller,customer57@email.com,22,F,Frankfurt,2022-11-08,Young Adults,True,False
CUST000058,Tim,Schulz,customer58@email.com,30,Other,Bochum,2023-05-28,Prime Shoppers,False,False
CUST000059,Olivia,Becker,customer59@email.com,39,M,München,2020-05-01,Prime Shoppers,True,True
CUST000060,Ben,Weber,customer60@email.com,49,M,Bielefeld,2019-08-22,Mature Customers,False,True
CUST000061,Olivia,Hoffmann,customer61@email.com,27,Other,Gelsenkirchen,2022-05-18,Prime Shoppers,False,True
CUST000062,David,Weber,customer62@email.com,32,Other,Braunschweig,2021-03-18,Prime Shoppers,False,True
CUST000063,Olivia,Schulz,customer63@email.com,18,M,Nürnberg,2022-04-06,Young Adults,True,True
CUST000064,Ben,Becker,customer64@email.com,18,F,Dresden,2019-09-02,Young Adults,True,False
CUST000065,David,Fischer,customer65@email.com,47,M,Mönchengladbach,2022-11-08,Mature Customers,False,False
CUST000066,Max,Schneider,customer66@email.com,55,M,Braunschweig,2018-12-06,Mature Customers,True,True
CUST000067,Leon,Schulz,customer67@email.com,33,F,Münster,2021-03-13,Prime Shoppers,True,True
CUST000068,Jonas,Weber,customer68@email.com,50,Other,Essen,2021-12-12,Mature Customers,True,True
CUST000069,Noah,Müller,customer69@email.com,40,F,Chemnitz,2023-05-26,Mature Customers,True,True
CUST000070,Emma,Bauer,customer70@email.com,25,F,Braunschweig,2019-05-27,Prime Shoppers,True,False
CUST000071,Emma,Hoffmann,customer71@email.com,40,Other,Essen,2020-09-29,Mature Customers,False,False
CUST000072,Clara,Koch,customer72@email.com,58,M,Hannover,2020-07-14,Mature Customers,False,True
CUST000073,Paul,Meyer,customer73@email.com,34,Other,Berlin,2020-07-20,Prime Shoppers,True,False
CUST000074,Leon,Schmidt,customer74@email.com,58,Other,Hannover,2021-07-24,Mature Customers,True,False
CUST000075,Greta,Becker,customer75@email.com,18,F,Bremen,2022-08-17,Young Adults,False,True
CUST000076,Laura,Schneider,customer76@email.com,47,Other,Chemnitz,2021-01-25,Mature Customers,False,True
CUST000077,Ben,Müller,customer77@email.com,36,M,Karlsruhe,2023-01-06,Prime Shoppers,False,True
CUST000078,Felix,Becker,customer78@email.com,30,F,Berlin,2018-09-12,Prime Shoppers,False,True
CUST000079,Emma,Koch,customer79@email.com,36,F,Stuttgart,2021-11-11,Prime Shoppers,False,True
CUST000080,Leon,Weber,customer80@email.com,18,M,Dresden,2021-09-02,Young Adults,True,True
CUST000081,Jonas,Bauer,customer81@email.com,31,Other,Gelsenkirchen,2020-03-22,Prime Shoppers,True,False
CUST000082,Clara,Bauer,customer82@email.com,40,M,Berlin,2021-09-04,Mature Customers,True,False
CUST000083,Emma,Hoffmann,customer83@email.com,57,M,Wuppertal,2018-06-09,Mature Customers,False,True
CUST000084,Klara,Schmidt,customer84@email.com,27,F,Augsburg,2018-01-17,Prime Shoppers,True,False
CUST000085,Hans,Wagner,customer85@email.com,22,M,Wiesbaden,2018-05-26,Young Adults,True,True
CUST000086,Leon,Weber,customer86@email.com,27,M,Hannover,2019-10-04,Prime Shoppers,True,True
